                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12127,                0.12143,               0.052086,               0.017353,               0.009774,                0.40881,               0.014952,              0.0035467,               0.010536,                0.41824,               0.019042,              0.0041238,                0.11007,               0.061046,               0.041149,               0.014566,                 0.0784,                 0.0024,                 0.0024
                      1,                0.10679,               0.052644,                0.05951,               0.013751,               0.025229,                0.20755,                0.01981,              0.0041806,               0.064194,                0.22642,               0.048644,               0.020461,                0.10554,               0.025741,               0.037686,              0.0056718,               0.055878,               0.004878,               0.004878
                      2,                0.10317,               0.029009,               0.053369,              0.0080302,                0.64431,                0.16038,               0.093988,               0.020662,                0.75955,                0.21698,                0.23152,                0.11342,                0.10947,               0.026486,               0.046157,              0.0027375,               0.033333,              0.0073334,              0.0073334
                      3,                0.10334,               0.033822,               0.046425,              0.0058743,               0.064979,                0.30031,               0.066479,               0.040213,                0.62395,                0.12264,                0.11654,               0.070682,                0.11943,               0.026526,                0.03557,              0.0024939,               0.010766,              0.0097663,              0.0097663
                      4,               0.097016,               0.047013,               0.045742,              0.0053138,                0.65238,                0.14151,               0.087153,               0.027712,                0.69606,                0.18868,                0.12989,               0.043276,                0.10012,               0.047001,               0.036035,              0.0026711,                0.00982,                0.00982,                0.00982
                      5,               0.091816,               0.041003,               0.052502,               0.005131,                0.72929,                0.24528,                0.23278,               0.063505,                0.73811,                0.25472,                0.24541,                0.14165,                0.10401,               0.021412,               0.040913,              0.0020499,                0.00982,                0.00982,                0.00982
                      6,               0.097796,               0.025423,                0.04475,              0.0042746,                0.80137,                0.20755,                0.27647,               0.078659,                0.80604,                0.27358,                0.33813,                0.20842,                0.10205,               0.020734,               0.025975,              0.0024927,               0.009775,               0.009775,               0.009775
                      7,               0.088508,               0.024028,                 0.0454,              0.0038474,                0.67323,                0.30189,                0.26078,                0.11992,                0.74995,                0.33019,                  0.358,                 0.1877,                0.10899,               0.025068,               0.028756,              0.0020718,                0.00973,                0.00973,                0.00973
                      8,               0.094673,               0.023297,               0.043446,              0.0035959,                0.70462,                0.18868,                 0.2542,                0.11636,                0.81633,                0.30189,                0.43181,                0.25898,               0.093121,               0.018956,               0.025443,              0.0025692,               0.009685,               0.009685,               0.009685
                      9,               0.090161,               0.023444,               0.044287,              0.0033769,                0.59582,                0.25052,                0.14808,               0.046373,                0.67725,                0.33962,                0.28185,                0.16538,               0.086379,                0.01995,               0.027854,              0.0024545,                0.00964,                0.00964,                0.00964
                     10,               0.079932,               0.023221,               0.047554,              0.0031971,                0.83092,                0.31391,                0.35477,                0.13473,                0.85818,                0.33019,                0.38657,                0.23368,               0.075105,               0.019987,               0.027933,              0.0024268,               0.009595,               0.009595,               0.009595
                     11,               0.075977,               0.021149,               0.043012,              0.0029619,                0.62724,                0.32847,                0.24515,               0.087963,                0.72646,                0.25472,                0.38098,                0.22996,               0.093245,               0.018299,                0.02676,              0.0021464,                0.00955,                0.00955,                0.00955
                     12,               0.078877,               0.019682,               0.051487,              0.0028303,                0.79338,                0.27358,                0.45969,                0.17654,                 0.8585,                0.32075,                0.50695,                0.30291,               0.075396,                0.01762,               0.025898,              0.0023093,               0.009505,               0.009505,               0.009505
                     13,               0.073232,               0.019574,               0.044558,              0.0029866,                0.78835,                0.36792,                0.45857,                0.17833,                0.81444,                0.37736,                0.48357,                0.26595,                0.07676,               0.017494,               0.024462,              0.0022533,                0.00946,                0.00946,                0.00946
                     14,                 0.0783,               0.020284,               0.038283,              0.0028278,                0.57801,                0.63944,                  0.404,                0.22179,                0.57954,                0.64888,                0.44301,                0.26131,                0.07502,               0.018745,               0.025585,              0.0022837,               0.009415,               0.009415,               0.009415
                     15,               0.083512,               0.019907,               0.039066,              0.0027442,                0.25733,                0.99057,                0.63579,                0.28285,                0.79412,                0.37736,                0.67437,                0.33854,               0.092435,               0.017777,                0.02549,              0.0023476,                0.00937,                0.00937,                0.00937
                     16,               0.078496,               0.021476,               0.041977,              0.0032783,                0.93064,                0.35149,                0.53547,                0.21035,                0.94297,                0.36644,                0.55617,                0.34148,               0.070075,               0.017138,               0.022783,              0.0034897,               0.009325,               0.009325,               0.009325
                     17,               0.070187,               0.023466,               0.041761,              0.0036724,                0.37532,                 0.8239,                0.76528,                 0.3761,                0.37532,                 0.8239,                0.73457,                0.38355,               0.066341,               0.015879,               0.022901,              0.0032916,                0.00928,                0.00928,                0.00928
                     18,                0.06159,               0.023069,               0.045344,              0.0030537,                0.80647,                0.41509,                0.47768,                0.20283,                0.79817,                0.40566,                0.47379,                0.26061,               0.068844,               0.017626,               0.022683,              0.0028407,               0.009235,               0.009235,               0.009235
                     19,               0.072461,               0.022508,               0.037474,              0.0028688,                 0.1596,                0.74057,                0.21039,                0.10282,                 0.6662,                0.41509,                0.25326,                0.13297,                   0.07,               0.017589,               0.023712,              0.0027911,                0.00919,                0.00919,                0.00919
                     20,               0.071034,               0.021696,               0.039998,              0.0030471,                0.33593,                0.73113,                0.54473,                0.28435,                0.33803,                0.74057,                 0.5356,                0.31985,               0.063312,               0.016141,               0.022434,              0.0029466,               0.009145,               0.009145,               0.009145
                     21,               0.065817,               0.021858,               0.045084,              0.0027916,                0.58394,                0.88438,                0.73699,                 0.3988,                0.58394,                0.88438,                0.76811,                0.41361,               0.048738,               0.015254,               0.022916,               0.002526,                 0.0091,                 0.0091,                 0.0091
                     22,               0.057308,               0.017175,               0.040882,               0.002554,                0.52808,                0.90723,                0.88712,                0.67318,                0.52808,                0.90723,                0.88712,                0.63911,               0.054285,               0.015791,               0.021205,              0.0023657,               0.009055,               0.009055,               0.009055
                     23,               0.056292,               0.019563,               0.036002,              0.0024744,                0.53515,                0.95595,                0.78847,                0.52163,                 0.5384,                0.96538,                0.79525,                 0.5557,               0.055447,               0.016269,               0.021804,              0.0021656,                0.00901,                0.00901,                0.00901
                     24,               0.057526,               0.021138,               0.045125,              0.0026222,                0.42727,                0.95009,                0.75012,                0.55325,                0.42727,                0.95009,                0.74791,                0.52238,               0.046162,               0.015673,               0.020501,               0.002239,               0.008965,               0.008965,               0.008965
                     25,               0.052408,               0.018968,               0.040415,              0.0025711,                0.38021,                0.74057,                 0.6894,                0.38016,                0.38021,                0.74057,                0.70752,                0.39956,               0.055091,               0.014963,               0.021514,              0.0023314,                0.00892,                0.00892,                0.00892
                     26,               0.057145,               0.018941,               0.039914,              0.0024743,                0.49216,                0.78663,                0.80075,                0.52713,                0.49216,                0.78663,                 0.8075,                0.54575,               0.044934,               0.014374,               0.019812,              0.0024931,               0.008875,               0.008875,               0.008875
                     27,               0.049758,               0.018562,               0.040249,              0.0024822,                0.43295,                 0.8239,                0.67201,                0.44347,                0.43295,                 0.8239,                0.67941,                0.46601,               0.064614,               0.014802,               0.021902,              0.0023148,                0.00883,                0.00883,                0.00883
                     28,               0.055846,               0.018218,               0.037881,              0.0024372,                0.43882,                0.74057,                0.59138,                0.39653,                0.43882,                0.74057,                0.64762,                0.45655,               0.046341,               0.014821,               0.021696,              0.0024925,               0.008785,               0.008785,               0.008785
                     29,               0.057066,               0.019876,               0.041852,              0.0024916,                0.53679,                 0.5739,                0.53717,                0.35228,                0.53679,                 0.5739,                 0.5593,                 0.3999,                 0.0521,               0.015001,               0.020488,               0.002502,                0.00874,                0.00874,                0.00874
                     30,               0.055149,               0.018088,               0.040039,              0.0025943,                0.48591,                0.60742,                0.64954,                0.40694,                0.48591,                0.60742,                 0.6511,                0.42475,               0.043316,               0.014741,               0.020056,              0.0026432,               0.008695,               0.008695,               0.008695
                     31,               0.051761,               0.018187,               0.038496,              0.0026947,                0.44739,                0.65723,                0.65728,                 0.4429,                0.44739,                0.65723,                0.65728,                0.49778,               0.038916,               0.014662,               0.019371,              0.0026926,                0.00865,                0.00865,                0.00865
                     32,               0.051391,               0.017963,               0.038155,              0.0026315,                0.42668,                 0.5739,                0.52748,                0.35261,                0.42668,                 0.5739,                0.52748,                0.38611,               0.039554,               0.014662,               0.018695,              0.0027965,               0.008605,               0.008605,               0.008605
                     33,               0.049292,               0.018047,               0.041792,               0.002482,                0.57945,                 0.5739,                0.54997,                 0.3596,                0.57945,                 0.5739,                0.55416,                0.39681,               0.048226,               0.015114,               0.019772,              0.0026555,                0.00856,                0.00856,                0.00856
                     34,               0.043651,               0.016722,               0.035507,              0.0024707,                 0.7651,                0.43396,                0.45074,                0.27917,                 0.7651,                0.43396,                 0.4537,                0.33324,               0.061468,                0.01458,               0.020595,              0.0026323,               0.008515,               0.008515,               0.008515
