                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12303,                0.13834,               0.051757,               0.017457,              0.0054276,                0.44497,               0.014191,              0.0025817,              0.0040132,                 0.2783,              0.0038558,             0.00064964,                 0.1183,               0.090059,                0.03654,                0.01574,                 0.0874,                 0.0014,                 0.0014
                      1,                0.11691,               0.084332,               0.052826,               0.016307,               0.012452,                0.33491,               0.011135,              0.0026292,               0.019411,                0.27201,                0.02194,              0.0093775,                 0.1024,               0.035466,               0.042948,               0.012795,               0.073891,              0.0028913,              0.0028913
                      2,                0.10759,               0.048424,               0.057274,               0.013778,               0.037619,                0.04717,               0.019128,              0.0044689,                0.12633,                0.12264,               0.089926,               0.031707,                0.10453,               0.025729,               0.035514,              0.0091255,               0.060374,              0.0043736,              0.0043736
                      3,               0.098904,               0.039422,               0.061247,               0.011565,                0.56945,                0.20755,               0.038724,               0.011506,                0.58333,                0.21698,               0.050769,               0.023303,                0.10828,               0.029118,               0.048474,              0.0045296,               0.046847,              0.0058469,              0.0058469
                      4,                0.10039,                0.03407,               0.052446,              0.0086533,                0.54861,                0.12264,               0.027051,              0.0072822,                0.58788,                0.20755,               0.054056,               0.020518,                0.11756,               0.047962,               0.065916,              0.0029597,               0.033311,              0.0073112,              0.0073112
                      5,                0.10187,               0.038513,               0.048826,              0.0065328,                0.60457,               0.084906,               0.073854,               0.030448,                0.72433,                0.19811,                0.18111,               0.080644,                0.10975,               0.031507,               0.048365,              0.0026456,               0.019767,              0.0087665,              0.0087665
                      6,               0.099669,               0.037256,               0.049033,               0.005997,                0.21067,                0.36442,                0.14487,               0.056775,                  0.174,                0.32862,                 0.1835,               0.069718,                 0.1011,               0.036279,               0.034534,              0.0027841,                0.00982,                0.00982,                0.00982
                      7,               0.093891,               0.041142,               0.052876,              0.0058853,                0.13655,                0.28697,                0.20343,                  0.149,                0.72803,                0.24528,                0.33338,                0.21293,               0.096779,                0.02273,               0.035362,              0.0025989,                0.00982,                0.00982,                0.00982
                      8,               0.091618,               0.032249,               0.048615,              0.0052023,               0.069849,                0.42296,               0.072759,               0.030099,                0.61581,                0.22467,                0.13482,               0.084583,                 0.1206,               0.021382,               0.038462,              0.0021156,                0.00979,                0.00979,                0.00979
                      9,                0.10558,               0.028606,               0.043122,              0.0047671,                0.17926,                0.58962,                0.30863,                0.12103,                0.19214,                0.70283,                0.37846,                0.20453,                0.10611,               0.020111,               0.027074,              0.0025061,                0.00976,                0.00976,                0.00976
                     10,                0.10406,                0.02781,               0.044937,              0.0046622,                0.24876,                0.67296,                0.42242,                0.13571,                0.26051,                0.78616,                0.49249,                0.22044,                0.10611,               0.020111,               0.027074,              0.0025061,                0.00973,                0.00973,                0.00973
                     11,               0.099816,               0.029428,               0.038143,               0.004613,                0.50668,                0.55975,                0.61979,                0.17425,                0.53978,                0.70126,                0.62844,                0.22903,                0.10782,               0.021495,               0.025966,               0.002686,                 0.0097,                 0.0097,                 0.0097
                     12,               0.095298,               0.027142,               0.048219,              0.0046548,                0.57104,                0.80931,                0.64091,                0.24178,                0.59119,                0.88505,                0.76126,                0.34522,               0.099642,               0.021038,               0.028323,              0.0027641,                0.00967,                0.00967,                0.00967
                     13,               0.090516,               0.028389,               0.048856,              0.0042491,                0.47514,                0.84252,                 0.7464,                0.35588,                0.47514,                0.84391,                0.78078,                0.39013,               0.088972,               0.019314,               0.028823,              0.0024621,                0.00964,                0.00964,                0.00964
                     14,               0.090196,               0.027252,               0.046637,              0.0039562,                0.39294,                 0.9434,                0.58629,                0.20883,                0.39716,                0.99057,                0.78255,                0.38452,               0.091537,               0.020378,               0.029504,              0.0023717,                0.00961,                0.00961,                0.00961
                     15,               0.088351,               0.026167,               0.042573,              0.0049443,                0.59058,                0.27358,                0.13358,               0.059401,                0.81977,                0.30128,                0.34644,                0.19753,                0.09095,               0.020608,               0.029721,              0.0035353,                0.00958,                0.00958,                0.00958
                     16,               0.084425,               0.031204,               0.051548,              0.0043064,                 0.7974,                0.31132,                0.31402,                0.11037,                0.85274,                0.36792,                0.39994,                0.22268,                0.09126,               0.022431,               0.030862,              0.0032016,                0.00955,                0.00955,                0.00955
                     17,               0.087554,               0.026923,               0.044693,               0.004083,                0.72132,                0.32075,                0.25977,                0.11154,                0.72236,                0.38679,                0.28286,                0.15574,               0.081389,               0.022705,               0.030599,              0.0025306,                0.00952,                0.00952,                0.00952
                     18,               0.084089,               0.025394,               0.046848,               0.003556,                0.67101,                0.34906,                0.18142,               0.052567,                0.81088,                0.34906,                0.40986,                0.16187,               0.083226,               0.025318,               0.031709,              0.0023729,                0.00949,                0.00949,                0.00949
                     19,               0.088924,               0.026561,               0.047953,              0.0032073,               0.050831,                0.80503,                0.21264,               0.055233,               0.051559,                 0.8239,                0.21974,               0.058001,               0.096841,               0.022118,               0.036734,              0.0022706,                0.00946,                0.00946,                0.00946
                     20,               0.091781,               0.028151,               0.046469,              0.0034551,                0.37632,                 0.6478,                0.50128,                0.19069,                0.37747,                0.65723,                 0.5492,                0.24674,               0.080938,               0.020295,               0.028369,              0.0024263,                0.00943,                0.00943,                0.00943
                     21,               0.080218,               0.027045,                0.05292,              0.0034739,                0.28771,                0.60063,                 0.3125,               0.099947,                 0.8178,                0.40566,                0.54608,                0.27327,               0.087461,               0.019202,               0.026046,              0.0023747,                 0.0094,                 0.0094,                 0.0094
                     22,               0.083407,               0.023518,               0.048853,              0.0039428,                 0.4304,                0.74057,                0.63602,                0.29863,                 0.4304,                0.74057,                0.70732,                0.39088,               0.073283,               0.017449,               0.025919,              0.0026023,                0.00937,                0.00937,                0.00937
                     23,               0.073651,               0.026702,               0.046312,              0.0038619,                0.30293,                0.78616,                0.47046,                0.16936,                0.30929,                 0.8239,                0.47384,                0.24962,                0.07609,               0.017013,               0.025814,              0.0026033,                0.00934,                0.00934,                0.00934
                     24,               0.075559,               0.023641,                0.04811,              0.0032333,                0.36582,                0.80503,                0.61278,                0.37102,                 0.3671,                0.81447,                0.63767,                0.37107,               0.076556,                0.01723,               0.024141,              0.0025406,                0.00931,                0.00931,                0.00931
                     25,               0.084171,               0.024511,               0.040282,              0.0034856,                0.33524,                0.90723,                0.61635,                0.29998,                0.33524,                0.90723,                0.61967,                0.31034,               0.055929,               0.017648,               0.024246,              0.0028686,                0.00928,                0.00928,                0.00928
                     26,               0.064481,               0.024115,               0.048169,              0.0032888,                0.33524,                0.90723,                0.61635,                0.29998,                0.33524,                0.90723,                0.61967,                0.31034,               0.055929,               0.017648,               0.024246,              0.0028686,                0.00925,                0.00925,                0.00925
                     27,                0.06564,               0.026153,                  0.043,              0.0036469,                0.30403,                0.74057,                0.57221,                 0.2425,                0.30403,                0.74057,                0.56213,                0.25885,               0.058158,               0.019033,               0.023908,              0.0030045,                0.00922,                0.00922,                0.00922
                     28,               0.061828,               0.025126,               0.042434,              0.0032355,                0.31827,                 0.6478,                0.48562,                0.20586,                0.31827,                 0.6478,                0.48344,                 0.2522,               0.050404,               0.017204,               0.023723,              0.0029489,                0.00919,                0.00919,                0.00919
                     29,                0.05787,               0.025694,               0.045424,              0.0030904,                0.35427,                0.74057,                0.70703,                0.33673,                0.29173,                0.65723,                0.65544,                0.36022,               0.047407,               0.017006,               0.023623,              0.0026875,                0.00916,                0.00916,                0.00916
                     30,               0.062423,               0.025892,                0.04362,              0.0031545,                0.44208,                0.90723,                0.73848,                0.38386,                0.44208,                0.90723,                0.73966,                0.35399,               0.054854,                0.01707,               0.024647,              0.0025289,                0.00913,                0.00913,                0.00913
                     31,               0.067545,               0.023094,               0.039991,              0.0026239,                0.34168,                0.82526,                0.52408,                0.23832,                0.34395,                 0.8347,                0.60336,                0.30825,               0.068839,                0.01672,               0.025663,              0.0024675,                 0.0091,                 0.0091,                 0.0091
                     32,               0.072004,               0.021259,               0.040909,              0.0028409,                0.86493,                0.32075,                 0.5717,                0.28303,                0.83648,                0.33002,                0.56581,                0.31282,                 0.0683,               0.016339,               0.022665,               0.002548,                0.00907,                0.00907,                0.00907
                     33,               0.068642,               0.020794,               0.043404,              0.0028807,                  0.834,                0.36792,                0.46656,                0.17576,                0.87956,                0.41509,                0.55155,                0.30637,               0.065941,               0.016972,               0.025151,              0.0026387,                0.00904,                0.00904,                0.00904
                     34,               0.061908,               0.018175,               0.041059,              0.0031656,                0.50549,                0.56447,                0.55783,                0.26849,                0.83416,                0.36792,                0.59423,                0.31157,               0.058082,               0.016345,               0.023767,              0.0026345,                0.00901,                0.00901,                0.00901
                     35,               0.062066,               0.024357,               0.047496,              0.0028736,                0.81258,                0.37736,                0.45051,                0.20148,                0.81258,                0.37736,                0.46099,                0.27189,               0.055579,               0.015879,               0.023865,               0.002395,                0.00898,                0.00898,                0.00898
                     36,               0.062596,               0.022507,               0.045432,              0.0026437,                0.30477,                0.74057,                0.46853,                0.20569,                0.30477,                0.74057,                0.49858,                 0.2473,               0.051362,                0.01608,               0.023439,              0.0023277,                0.00895,                0.00895,                0.00895
                     37,               0.060768,               0.019013,               0.043098,              0.0026555,                0.33868,                0.69322,                0.54774,                0.31722,                0.33868,                0.69322,                0.56934,                0.36618,               0.058813,               0.015676,               0.022375,              0.0023228,                0.00892,                0.00892,                0.00892
                     38,               0.062687,               0.021155,               0.045552,              0.0025234,                0.85614,                0.42042,                0.57792,                0.28248,                0.85614,                0.42042,                0.57548,                0.30162,               0.050912,               0.016202,               0.022921,              0.0023792,                0.00889,                0.00889,                0.00889
                     39,               0.060305,               0.023278,               0.037755,              0.0032902,                 0.3458,                0.65723,                0.52796,                0.24119,                 0.3458,                0.65723,                0.52486,                0.32651,               0.052288,               0.015316,               0.021868,              0.0022825,                0.00886,                0.00886,                0.00886
                     40,               0.056648,               0.018528,               0.035959,              0.0023561,                0.44506,                0.90723,                0.73348,                0.51922,                0.44506,                0.90723,                0.73569,                0.48023,               0.056791,               0.015019,               0.021508,              0.0021981,                0.00883,                0.00883,                0.00883
                     41,               0.062038,               0.020815,               0.039141,              0.0026882,                0.56502,                0.88197,                0.78997,                0.51068,                0.56502,                0.88197,                 0.7995,                0.53628,               0.051818,               0.014624,               0.021226,               0.002118,                 0.0088,                 0.0088,                 0.0088
                     42,               0.056038,                0.01998,               0.043702,              0.0025604,                0.56502,                0.88197,                0.78997,                0.51068,                0.56502,                0.88197,                 0.7995,                0.53628,               0.051818,               0.014624,               0.021226,               0.002118,                0.00877,                0.00877,                0.00877
