stored_images\230307_images\image_00000.png,"[0.7071177458421767, 0.4686003090709643, 0.00030873364720125873, 0.0002227841861192277, 5.81610121353664e-08, 0.00014462854611081003, -5.575712362031454e-09, 3676.526189951692, 41.48896247240618, 54.66887417218543, 79.76959161147903]"
stored_images\230307_images\image_00001.png,"[0.5106664408148084, 0.22812422965225765, 0.006541275625602823, 0.004213573045819274, 2.2095333496902726e-05, 0.0018303687269874682, 1.0676940595160316e-06, 3007.4067574525543, 36.726584022038566, 53.54545454545455, 84.79993112947659]"
stored_images\230307_images\image_00002.png,"[0.6929781058552809, 0.37254419154592955, 0.0878108661881032, 0.021342923974796143, 0.0005679414998510455, 0.002516276107259913, 0.0007288015878133179, 3841.0096038690535, 38.69925808161102, 51.33677795442501, 81.3147853736089]"
stored_images\230307_images\image_00003.png,"[0.17601975428351602, 0.00510053676998355, 6.357422638059809e-07, 3.0094703925845995e-08, -4.132806436022721e-15, -2.099704018795431e-09, -4.980215570368011e-16, 7377.647812745185, 114.77399507793274, 126.58764014219305, 128.4666393218485]"
stored_images\230307_images\image_00004.png,"[0.1760427258905148, 0.005047332454966797, 3.1175852398502464e-07, 7.747996672290394e-09, -2.576679992504761e-16, -4.4938468406313135e-10, 2.803808410462725e-16, 7271.1216684076935, 119.03482241953385, 129.81173695893452, 131.69089900110987]"
stored_images\230307_images\image_00005.png,"[0.17633631307816974, 0.00516920183589303, 2.005889271204476e-07, 4.8244938095433284e-09, 1.1803173427211447e-16, -8.42582099207967e-11, 9.270046223585095e-17, 7295.429703059606, 116.9966703662597, 128.2246115427303, 130.10946170921198]"
stored_images\230307_images\image_00006.png,"[0.17623390841015005, 0.005135017663507664, 6.061386366644947e-07, 2.1563034188799085e-08, 7.596892535457665e-16, 5.101362709462816e-10, -2.3452174727799544e-15, 7292.364475959912, 109.77302996670366, 125.07075471698113, 127.10099889012209]"
stored_images\230307_images\image_00007.png,"[0.17625938374287764, 0.005161766327793655, 2.4634504391314997e-08, 3.6659471686795556e-09, 3.197301958817389e-17, 1.6620049431297567e-10, 1.3834778605385377e-17, 7362.321034843684, 101.68826907301066, 122.73489198796828, 124.41085589280831]"
stored_images\230307_images\image_00008.png,"[0.17618361663130852, 0.00514581013161438, 6.673047407133309e-08, 3.2077084688217316e-09, -2.778558523030433e-17, -2.819730370739437e-11, -3.782096743689716e-17, 7240.051059980877, 102.7593837535014, 124.53151260504201, 126.04145658263306]"
stored_images\230307_images\image_00009.png,"[0.17587549580014752, 0.005041856206356081, 3.8312942595993905e-07, 3.777945525163825e-09, -1.34730134327748e-16, -2.5022184928242874e-10, 5.0069424762373585e-17, 7274.241639024112, 112.00083240843507, 125.81756381798002, 129.9010821309656]"
stored_images\230307_images\image_00010.png,"[0.17635525459780294, 0.005209657595429684, 1.7173692807264585e-06, 6.12982430448753e-08, -1.1840587008961291e-14, -2.094808031958492e-09, -1.5979872080162486e-14, 7295.857265254017, 111.07741398446171, 125.27316870144284, 129.06825749167592]"
stored_images\230307_images\image_00011.png,"[0.17662235201145032, 0.005272222518793732, 6.289133625895518e-08, 3.6315520136259346e-09, 6.563158434627311e-18, -1.3299352508930853e-10, 5.448864802121446e-17, 7267.403978116927, 111.37819089900111, 125.69422863485016, 129.44325749167592]"
stored_images\230307_images\image_00012.png,"[0.17566125867300733, 0.00496403943569693, 1.0617053609330816e-06, 5.121553489387946e-08, -1.0987110567239893e-14, -3.2064811622812947e-09, -4.6811144077758525e-15, 7343.586010663072, 110.67508626639061, 124.68557625948931, 128.47950310559006]"
